parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
91201:001:0920,0.117923,geometry,geodesic_wgs84_pyproj,570.380491,483588.924976,5.0,comparable,
91201:001:0930,0.123715,geometry,geodesic_wgs84_pyproj,570.380491,460943.924342,5.0,comparable,
91201:001:0940,0.106187,geometry,geodesic_wgs84_pyproj,570.380491,537047.194101,5.0,comparable,
91201:001:0950,0.102906,geometry,geodesic_wgs84_pyproj,570.380491,554173.308651,5.0,comparable,
91201:001:0960,0.104662,geometry,geodesic_wgs84_pyproj,570.380491,544873.81189,5.0,comparable,
91201:001:0970,0.102944,geometry,geodesic_wgs84_pyproj,570.380491,553968.70823,5.0,comparable,
91201:001:0980,0.119539,geometry,geodesic_wgs84_pyproj,570.380491,477050.127573,5.0,comparable,
91201:001:0990,0.11963,geometry,geodesic_wgs84_pyproj,570.380491,476687.169606,5.0,comparable,
91201:001:1000,0.111892,geometry,geodesic_wgs84_pyproj,570.380491,509659.849676,5.0,comparable,
91201:001:1010,0.117625,geometry,geodesic_wgs84_pyproj,570.380491,484814.338789,5.0,comparable,
91201:001:1020,0.117267,geometry,geodesic_wgs84_pyproj,570.380491,486294.715478,5.0,comparable,
91201:001:1030,0.120771,geometry,geodesic_wgs84_pyproj,570.380491,472182.659744,5.0,comparable,
91201:001:1050,0.121045,geometry,geodesic_wgs84_pyproj,570.380491,471113.590813,5.0,comparable,
91201:001:1060,0.118702,geometry,geodesic_wgs84_pyproj,570.380491,480414.64255,5.0,comparable,
91201:001:1070,0.119789,geometry,geodesic_wgs84_pyproj,570.380491,476054.313835,5.0,comparable,
91201:001:1080,0.119953,geometry,geodesic_wgs84_pyproj,570.380491,475403.314632,5.0,comparable,
91201:001:1090,0.119026,geometry,geodesic_wgs84_pyproj,570.380491,479106.636365,5.0,comparable,
91201:001:1100,0.118677,geometry,geodesic_wgs84_pyproj,570.380491,480515.865753,5.0,comparable,
91201:001:1110,65.0,attribute:haritav,reported_ha,570.380491,777.508448,5.0,comparable,
91201:001:1120,0.201453,geometry,geodesic_wgs84_pyproj,570.380491,283033.282205,5.0,comparable,
91201:001:1130,0.180848,geometry,geodesic_wgs84_pyproj,570.380491,315292.202844,5.0,comparable,
91201:001:1140,4617.0,attribute:haritav,reported_ha,570.380491,-87.64608,5.0,comparable,
91201:001:1150,0.114759,geometry,geodesic_wgs84_pyproj,570.380491,496924.626391,5.0,comparable,
91201:001:1160,0.250909,geometry,geodesic_wgs84_pyproj,570.380491,227225.640372,5.0,comparable,
91201:001:1170,0.119665,geometry,geodesic_wgs84_pyproj,570.380491,476547.717378,5.0,comparable,
91201:001:1180,0.119214,geometry,geodesic_wgs84_pyproj,570.380491,478350.929421,5.0,comparable,
91201:001:1190,0.369854,geometry,geodesic_wgs84_pyproj,570.380491,154117.742947,5.0,comparable,
91201:001:1200,0.11933,geometry,geodesic_wgs84_pyproj,570.380491,477885.830051,5.0,comparable,
91201:001:1210,0.118632,geometry,geodesic_wgs84_pyproj,570.380491,480698.175029,5.0,comparable,
