variable,value,unit,notes,source
pixel_current_tree_cover_ha,0.0,ha,pixel_mask,hansen_gfc
pixel_forest_loss_post_2020_ha,0.0,ha,pixel_mask,hansen_gfc
pixel_initial_tree_cover_ha,0.0,ha,pixel_mask,hansen_gfc
